5c:cf:7f:94:6e:1f 10.16.166.1 "(0.0.0.0 Emma)"
5c:cf:7f:94:62:26 10.16.166.2 "(0.0.0.0 Sofia)"
5c:cf:7f:db:dd:e4 10.16.166.3 "(0.0.0.0 Ida)"
5c:cf:7f:94:69:27 10.16.166.4 "(0.0.0.0 Freja)"
5c:cf:7f:94:71:e0 10.16.166.5 "(0.0.0.0 Clara)"
5c:cf:7f:db:d9:69 10.16.166.6 "(0.0.0.0 Laura)"
5c:cf:7f:db:d8:df 10.16.166.7 "(0.0.0.0 Anna)"
5c:cf:7f:db:da:1c 10.16.166.8 "(0.0.0.0 Ella)"
5c:cf:7f:db:db:c0 10.16.166.9 "(0.0.0.0 Isabella)"
5c:cf:7f:db:d1:4c 10.16.166.10 "(0.0.0.0 Karla)"
5c:cf:7f:db:d7:37 10.16.166.11 "(0.0.0.0 Alma)"
5c:cf:7f:db:dc:07 10.16.166.12 "(0.0.0.0 Josefine)"
5c:cf:7f:94:67:59 10.16.166.13 "(0.0.0.0 Olivia)"
5c:cf:7f:db:df:2c 10.16.166.14 "(0.0.0.0 Alberte)"
5c:cf:7f:db:d9:de 10.16.166.15 "(0.0.0.0 Maja)"
5c:cf:7f:db:cf:c8 10.16.166.16 "(0.0.0.0 Sofie)"
5c:cf:7f:db:ce:31 10.16.166.17 "(0.0.0.0 Mathilde)"
5c:cf:7f:94:6a:33 10.16.166.18 "(0.0.0.0 Agnes)"
5c:cf:7f:94:66:20 10.16.166.19 "(0.0.0.0 Lily)"
5c:cf:7f:db:dd:b3 10.16.166.20 "(0.0.0.0 Caroline)"
5c:cf:7f:94:6a:70 10.16.166.21 "(0.0.0.0 Liva)"
5c:cf:7f:16:99:a6 10.16.166.22 "(0.0.0.0 Emily)"
5c:cf:7f:93:78:25 10.16.166.23 "(0.0.0.0 Sara)"
5c:cf:7f:db:d5:62 10.16.166.24 "(0.0.0.0 Victoria)"
5c:cf:7f:94:68:a5 10.16.166.25 "(0.0.0.0 Emilie)"
5c:cf:7f:94:6f:cb 10.16.166.26 "(0.0.0.0 Mille)"
5c:cf:7f:06:5b:1f 10.16.166.27 "(0.0.0.0 Frida)"
5c:cf:7f:db:de:50 10.16.166.28 "(0.0.0.0 Marie)"
5c:cf:7f:db:d6:ed 10.16.166.29 "(0.0.0.0 Ellen)"
5c:cf:7f:db:d9:8d 10.16.166.30 "(0.0.0.0 Rosa)"
5c:cf:7f:94:72:fc 10.16.166.31 "(0.0.0.0 Lea)"
5c:cf:7f:d9:e9:c3 10.16.166.32 "(0.0.0.0 Signe)"
5c:cf:7f:94:63:91 10.16.166.33 "(0.0.0.0 Filippa)"
5c:cf:7f:db:d3:8c 10.16.166.34 "(0.0.0.0 Julie)"
5c:cf:7f:db:d8:a8 10.16.166.35 "(0.0.0.0 Nora)"
18:fe:34:cb:23:45 10.16.166.36 "(0.0.0.0 Liv)"
5c:cf:7f:07:0e:1c 10.16.166.37 "(0.0.0.0 Vigga OK)"
5c:cf:7f:94:68:e4 10.16.166.38 "(0.0.0.0 Nanna)"
5c:cf:7f:db:d3:15 10.16.166.39 "(0.0.0.0 Naja)"
18:fe:34:cb:23:03 10.16.166.40 "(0.0.0.0 Alba)"
5c:cf:7f:02:c5:8f 10.16.166.41 "(0.0.0.0 Astrid OK)"
5c:cf:7f:94:63:d4 10.16.166.42 "(0.0.0.0 Aya)"
5c:cf:7f:db:dc:23 10.16.166.43 "(0.0.0.0 Hayan)"
5c:cf:7f:db:d3:5e 10.16.166.44 "(0.0.0.0 Luna)"
5c:cf:7f:2d:0e:4b 10.16.166.45 "(0.0.0.0 Malou)"
5c:cf:7f:db:d5:8b 10.16.166.46 "(0.0.0.0 Esther)"
5c:cf:7f:db:d5:8c 10.16.166.47 "(0.0.0.0 Celina)"
5c:cf:7f:db:d2:6b 10.16.166.48 "(0.0.0.0 Johanne)"
5c:cf:7f:db:dc:2c 10.16.166.49 "(0.0.0.0 Andrea)"
5c:cf:7f:c1:ba:25 10.16.166.50 "(0.0.0.0 Silje)"
18:fe:34:cb:1f:a9 10.16.166.51 "(0.0.0.0 Thea)"
5c:cf:7f:db:ce:bf 10.16.166.52 "(0.0.0.0 Adriana)"
5c:cf:7f:db:d4:3e 10.16.166.53 "(0.0.0.0 Dicte)"
5c:cf:7f:db:d7:86 10.16.166.54 "(0.0.0.0 Silke)"
5c:cf:7f:db:d4:06 10.16.166.55 "(0.0.0.0 Eva)"
5c:cf:7f:94:67:09 10.16.166.56 "(0.0.0.0 Gry)"
5c:cf:7f:94:72:6d 10.16.166.57 "(0.0.0.0 Tania)"
5c:cf:7f:94:67:09 10.16.166.58 "(0.0.0.0 Susanne)"
5c:cf:7f:db:ce:bf 10.16.166.59 "(0.0.0.0 Augusta)"
5c:cf:7f:94:72:75 10.16.166.60 "(0.0.0.0 Birte)"
5c:cf:7f:db:d0:81 10.16.166.61 "(0.0.0.0 Thit)"
5c:cf:7f:94:64:d2 10.16.166.62 "(0.0.0.0 Amanda)"
5c:cf:7f:94:67:09 10.16.166.63 "(0.0.0.0 Gry")
